User_Id:0	 Questions Asked:40	 Answers Posted:18	 	Votes:0
User_Id:1	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:2	 Questions Asked:1	 Answers Posted:0	 	Votes:2
User_Id:3	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:4	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:5	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:6	 Questions Asked:0	 Answers Posted:0	 	Votes:5
User_Id:7	 Questions Asked:3	 Answers Posted:0	 	Votes:7
User_Id:8	 Questions Asked:8	 Answers Posted:1	 	Votes:29
User_Id:9	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:10	 Questions Asked:0	 Answers Posted:3	 	Votes:55
User_Id:11	 Questions Asked:14	 Answers Posted:5	 	Votes:8
User_Id:12	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:13	 Questions Asked:9	 Answers Posted:0	 	Votes:42
User_Id:14	 Questions Asked:18	 Answers Posted:1	 	Votes:40
User_Id:15	 Questions Asked:10	 Answers Posted:2	 	Votes:13
User_Id:16	 Questions Asked:1	 Answers Posted:0	 	Votes:5
User_Id:18	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:19	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:20	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:21	 Questions Asked:1	 Answers Posted:1	 	Votes:9
User_Id:22	 Questions Asked:0	 Answers Posted:4	 	Votes:5
User_Id:23	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:24	 Questions Asked:0	 Answers Posted:0	 	Votes:8
User_Id:25	 Questions Asked:2	 Answers Posted:1	 	Votes:1
User_Id:26	 Questions Asked:5	 Answers Posted:49	 	Votes:1402
User_Id:27	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:28	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:29	 Questions Asked:0	 Answers Posted:2	 	Votes:48
User_Id:30	 Questions Asked:0	 Answers Posted:0	 	Votes:8
User_Id:31	 Questions Asked:1	 Answers Posted:3	 	Votes:28
User_Id:32	 Questions Asked:0	 Answers Posted:0	 	Votes:10
User_Id:33	 Questions Asked:1	 Answers Posted:0	 	Votes:231
User_Id:34	 Questions Asked:1	 Answers Posted:0	 	Votes:6
User_Id:35	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:36	 Questions Asked:1	 Answers Posted:0	 	Votes:11
User_Id:37	 Questions Asked:1	 Answers Posted:13	 	Votes:27
User_Id:38	 Questions Asked:1	 Answers Posted:4	 	Votes:37
User_Id:39	 Questions Asked:1	 Answers Posted:0	 	Votes:18
User_Id:40	 Questions Asked:0	 Answers Posted:1	 	Votes:0
User_Id:41	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:42	 Questions Asked:0	 Answers Posted:1	 	Votes:3
User_Id:43	 Questions Asked:128	 Answers Posted:0	 	Votes:335
User_Id:44	 Questions Asked:0	 Answers Posted:3	 	Votes:8
User_Id:45	 Questions Asked:4	 Answers Posted:1	 	Votes:19
User_Id:46	 Questions Asked:0	 Answers Posted:3	 	Votes:4
User_Id:47	 Questions Asked:0	 Answers Posted:1	 	Votes:7
User_Id:48	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:49	 Questions Asked:3	 Answers Posted:1	 	Votes:20
User_Id:50	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:51	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:52	 Questions Asked:1	 Answers Posted:0	 	Votes:8
User_Id:53	 Questions Asked:1	 Answers Posted:7	 	Votes:14
User_Id:54	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:55	 Questions Asked:4	 Answers Posted:5	 	Votes:28
User_Id:58	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:59	 Questions Asked:21	 Answers Posted:5	 	Votes:364
User_Id:60	 Questions Asked:0	 Answers Posted:0	 	Votes:13
User_Id:61	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:62	 Questions Asked:7	 Answers Posted:4	 	Votes:68
User_Id:63	 Questions Asked:0	 Answers Posted:1	 	Votes:0
User_Id:64	 Questions Asked:12	 Answers Posted:69	 	Votes:592
User_Id:65	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:66	 Questions Asked:0	 Answers Posted:2	 	Votes:5
User_Id:67	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:68	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:69	 Questions Asked:1	 Answers Posted:0	 	Votes:17
User_Id:70	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:71	 Questions Asked:16	 Answers Posted:0	 	Votes:174
User_Id:72	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:74	 Questions Asked:1	 Answers Posted:0	 	Votes:64
User_Id:75	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:76	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:77	 Questions Asked:2	 Answers Posted:0	 	Votes:1
User_Id:78	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:79	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:80	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:81	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:82	 Questions Asked:0	 Answers Posted:1	 	Votes:47
User_Id:83	 Questions Asked:12	 Answers Posted:9	 	Votes:154
User_Id:84	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:85	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:86	 Questions Asked:0	 Answers Posted:0	 	Votes:83
User_Id:87	 Questions Asked:7	 Answers Posted:0	 	Votes:38
User_Id:88	 Questions Asked:0	 Answers Posted:0	 	Votes:33
User_Id:89	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:90	 Questions Asked:0	 Answers Posted:6	 	Votes:3
User_Id:91	 Questions Asked:2	 Answers Posted:0	 	Votes:11
User_Id:92	 Questions Asked:34	 Answers Posted:1	 	Votes:48
User_Id:93	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:94	 Questions Asked:4	 Answers Posted:1	 	Votes:46
User_Id:95	 Questions Asked:0	 Answers Posted:0	 	Votes:52
User_Id:96	 Questions Asked:1	 Answers Posted:0	 	Votes:27
User_Id:97	 Questions Asked:1	 Answers Posted:3	 	Votes:622
User_Id:99	 Questions Asked:10	 Answers Posted:2	 	Votes:76
User_Id:100	 Questions Asked:2	 Answers Posted:0	 	Votes:7
User_Id:101	 Questions Asked:1	 Answers Posted:0	 	Votes:21
User_Id:102	 Questions Asked:10	 Answers Posted:8	 	Votes:188
User_Id:103	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:104	 Questions Asked:0	 Answers Posted:0	 	Votes:7
User_Id:105	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:106	 Questions Asked:1	 Answers Posted:0	 	Votes:3
User_Id:107	 Questions Asked:3	 Answers Posted:0	 	Votes:14
User_Id:108	 Questions Asked:1	 Answers Posted:0	 	Votes:15
User_Id:109	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:110	 Questions Asked:3	 Answers Posted:0	 	Votes:1
